time,hour,day,month,VHM0,VTM10,VTM02,VMDR,VSDX,VSDY,VHM0_WW,VTM01_WW,VMDR_WW,VHM0_SW1,VTM01_SW1,VMDR_SW1,VHM0_SW2,VTM01_SW2,VMDR_SW2,VPED,VTPK,wavepower
1.48E+09,0,1,1,1.492,7.136,5.619,-174.64,-0.001,-0.059,0.223,1.95,178.68,1.268,6.688,166.93,0.754,6.626,-114.69,171.46,8.39,7.78374
1.48E+09,1,1,1,1.475,7.047,5.44,-175.44,0,-0.066,0.312,2.262,178.02,1.244,6.798,166.82,0.728,6.555,-114.7,171.38,8.39,7.5125
1.48E+09,2,1,1,1.462,6.886,5.178,-176.13,0.001,-0.076,0.427,2.575,175.63,1.209,6.892,166.9,0.702,6.469,-114.72,171.45,8.39,7.21204
1.48E+09,3,1,1,1.46,6.649,4.918,-176.98,0.004,-0.085,0.577,2.943,174.8,1.167,6.857,167.63,0.661,6.741,-114.6,171.6,8.39,6.94477
1.48E+09,4,1,1,1.477,6.379,4.765,-178.25,0.006,-0.09,0.735,3.318,172.99,1.099,7.115,166.44,0.658,6.232,-115.56,171.76,7.627,6.81883
1.48E+09,5,1,1,1.527,6.112,4.65,179.94,0.009,-0.099,0.959,3.802,171.88,1.004,7.304,165.76,0.627,6.172,-115.62,171.88,7.627,6.98325
1.48E+09,6,1,1,1.632,5.906,4.569,177.72,0.013,-0.117,1.228,4.232,171.81,0.779,8.255,170.99,0.286,6.934,151.47,171.94,7.627,7.70779
1.48E+09,7,1,1,1.72,5.885,4.616,176.13,0.014,-0.123,1.227,4.176,172.7,0.96,7.75,169.9,0.556,5.911,-114.6,172.01,7.627,8.53099
1.48E+09,8,1,1,1.742,5.976,4.734,175.41,0.012,-0.116,1.031,3.862,174.61,1.274,6.752,164.51,0.468,6.76,-113.92,172.1,7.627,8.88593
1.48E+09,9,1,1,1.712,6.071,4.819,175.26,0.009,-0.106,0.8,3.438,175.94,1.448,6.302,169.6,0.438,6.678,-113.69,172.2,7.627,8.71894
1.48E+09,10,1,1,1.654,6.143,4.851,175.53,0.006,-0.098,0.594,2.965,177.75,1.486,6.121,170.6,0.414,6.598,-113.76,172.43,7.627,8.2347
1.48E+09,11,1,1,1.58,6.196,4.888,176.19,0.003,-0.089,0.455,2.648,-179.5,1.461,5.996,171.54,0.392,6.515,-113.81,172.91,7.627,7.57917
1.48E+09,12,1,1,1.5,6.335,5.138,177.11,0.009,-0.057,0.302,2.41,-179.35,1.419,5.929,172.82,0.377,6.503,-114.01,173.64,7.627,6.98434
1.48E+09,13,1,1,1.437,6.313,5.148,177.91,0.006,-0.052,0.247,2.269,-174.07,1.369,5.855,173.65,0.359,6.439,-113.7,174.24,7.627,6.38771
1.48E+09,14,1,1,1.377,6.3,5.15,178.89,0.004,-0.047,0.197,2.106,-173.11,1.318,5.786,174.72,0.346,6.358,-113.18,175.08,7.627,5.85335
1.48E+09,15,1,1,1.326,6.307,5.164,179.96,0.003,-0.043,0.163,2.024,-167.19,1.245,5.907,173.3,0.334,6.283,-112.85,176.28,7.627,5.43383
1.48E+09,16,1,1,1.286,6.323,5.193,-178.92,0.001,-0.039,0.113,1.801,-162.84,1.137,5.618,172.24,0.417,8.831,-169.85,177.6,7.627,5.12391
1.48E+09,17,1,1,1.252,6.335,5.225,-177.96,0,-0.035,0.082,1.7,-160.41,1.197,5.793,176.88,0.358,5.06,-110.11,179,7.627,4.86577
1.48E+09,18,1,1,1.216,6.33,5.244,-177.13,0,-0.032,0.052,1.594,-154.68,0.911,6.442,-170.33,0.723,4.96,157.85,-179.52,7.627,4.58635
1.48E+09,19,1,1,1.178,6.304,5.235,-176.33,0,-0.029,0.04,1.487,-164.39,0.869,6.606,-171.57,0.69,4.925,157.64,-178.41,7.627,4.2865
1.48E+09,20,1,1,1.14,6.264,5.208,-175.49,0,-0.028,0.035,1.458,-176.92,0.844,6.56,-170.99,0.659,4.884,157.39,-177.58,7.627,3.98894
1.48E+09,21,1,1,1.104,6.215,5.174,-174.62,0,-0.026,0.029,1.316,173.71,1.05,5.692,179.54,0.339,4.775,-108.1,-176.89,7.627,3.71172
1.48E+09,22,1,1,1.069,6.158,5.138,-173.7,0,-0.025,0.026,1.269,164.23,1.014,5.651,-179.85,0.337,4.739,-107.8,-176.31,7.627,3.44819
1.48E+09,23,1,1,1.034,6.092,5.098,-172.71,0,-0.023,0.019,1.082,149.46,0.978,5.599,-179.27,0.336,4.727,-107.66,-175.8,7.627,3.19152
1.48E+09,0,2,1,0.999,6.019,5.055,-171.62,0,-0.022,0.014,0.972,141.55,0.923,5.613,179.52,0.38,4.575,-111.95,-175.36,7.627,2.94341
1.48E+09,1,2,1,0.963,5.94,5.008,-170.37,-0.001,-0.021,0.014,0.972,140.85,0.884,5.544,179.92,0.383,4.617,-111.98,-174.96,7.627,2.6992
