time,hour,day,month,VHM0,VTM10,VTM02,VMDR,VSDX,VSDY,VHM0_WW,VTM01_WW,VMDR_WW,VHM0_SW1,VTM01_SW1,VMDR_SW1,VHM0_SW2,VTM01_SW2,VMDR_SW2,VPED,VTPK,wavepower
1.5463e+09,0,01,01,2.875,7.041,5.728,167.16,0.053,-0.159,2.401,5.794,159.51,1.272,7.362,-158.18,0.657,9.568,172.5,170.92,8.39,28.5171
1.5463e+09,1,01,01,2.951,7.093,5.775,165.98,0.055,-0.163,2.611,6.04,162.44,0.744,10.412,155.86,0.693,9.657,-165.91,169.64,8.39,30.2667
1.54631e+09,2,01,01,3.045,7.181,5.848,165.45,0.051,-0.17,2.747,6.181,163.55,0.68,9.661,-166.24,0.421,10.342,172.5,168.35,8.39,32.6254
1.54631e+09,3,01,01,3.154,7.293,5.936,165.46,0.045,-0.178,2.913,6.37,165.88,0.554,11.334,150.65,0.429,9.959,135.37,166.96,8.39,35.5489
1.54632e+09,4,01,01,3.268,7.437,6.084,165.98,0.036,-0.179,3.003,6.494,167.81,0.819,10.825,145.09,0.431,10.488,-164.8,165.46,8.39,38.9187
1.54632e+09,5,01,01,3.376,7.563,6.193,167.08,0.027,-0.184,3.104,6.59,169.42,0.936,10.9,147.14,0.423,9.811,-152.24,164.74,8.39,42.2372
1.54632e+09,6,01,01,3.63,7.817,6.383,168.66,0.018,-0.196,3.286,6.739,172.12,1.187,11.103,151.68,0.27,10.152,-151.76,165.14,9.229,50.4719
1.54633e+09,7,01,01,3.718,7.799,6.39,171.34,0.004,-0.206,3.432,6.821,175.41,1.05,10.973,144.74,0.327,9.539,-137.95,166.19,9.229,52.8267
1.54633e+09,8,01,01,3.959,7.962,6.514,174.73,-0.01,-0.222,3.739,7.045,178.57,0.862,10.804,137.68,0.336,12.497,158.86,168.7,9.229,61.149
1.54633e+09,9,01,01,4.198,8.078,6.596,178.88,-0.03,-0.24,3.991,7.158,-177.01,0.857,10.915,138.03,0.358,12.457,158.07,172.29,9.229,69.7565
1.54634e+09,10,01,01,4.48,8.244,6.781,-175.94,-0.05,-0.245,4.261,7.339,-171.65,0.925,10.683,138.96,0.385,12.421,157.54,175.59,9.229,81.0756
1.54634e+09,11,01,01,4.788,8.432,6.949,-170.12,-0.075,-0.255,4.583,7.547,-166.16,0.882,10.807,139.06,0.425,12.426,157.56,-159.22,9.229,94.7185
1.54634e+09,12,01,01,5.061,8.539,7.027,-164.8,-0.106,-0.268,4.874,7.657,-161,0.788,9.795,138.42,0.646,12.482,148.24,-148.62,9.229,107.171
1.54635e+09,13,01,01,5.159,8.57,7.055,-161.83,-0.119,-0.269,4.967,7.687,-159.01,0.653,12.484,148.64,0.628,10.347,139.32,-147.99,9.229,111.766
1.54635e+09,14,01,01,5.048,8.555,7.062,-161.15,-0.113,-0.254,4.798,7.642,-158.12,1.096,11.364,149.59,0.481,11.973,-108.99,-149.05,9.229,106.821
1.54635e+09,15,01,01,4.819,8.491,7.032,-161.85,-0.099,-0.233,4.521,7.58,-159.32,1.077,11.389,150.13,0.55,12.191,-117.11,-151.51,9.229,96.6204
1.54636e+09,16,01,01,4.55,8.394,6.967,-163.34,-0.085,-0.214,4.172,7.443,-160.29,1.241,11.158,153.29,0.568,11.765,-121.59,-153.61,9.229,85.1506
1.54636e+09,17,01,01,4.281,8.284,6.881,-165.3,-0.072,-0.197,3.731,7.167,-162.17,1.463,10.873,157.73,0.932,9.875,-123.39,-155.54,9.229,74.3921
1.54637e+09,18,01,01,3.953,8.066,6.646,-167.57,-0.063,-0.191,3.26,6.746,-164.46,1.343,10.333,168.02,0.875,11.563,151.11,-158.97,9.229,61.7601
1.54637e+09,19,01,01,3.855,8.052,6.618,-169.85,-0.053,-0.187,3.255,6.809,-167.34,1.477,10.78,160.06,0.878,9.04,-123.19,175.54,9.229,58.6339
1.54637e+09,20,01,01,3.783,8.023,6.577,-172.03,-0.044,-0.186,3.235,6.82,-171.3,1.404,10.893,158.94,1.164,6.968,-113.85,174.57,9.229,56.2608
