time,hour,day,month,VHM0,VTM10,VTM02,VMDR,VSDX,VSDY,VHM0_WW,VTM01_WW,VMDR_WW,VHM0_SW1,VTM01_SW1,VMDR_SW1,VHM0_SW2,VTM01_SW2,VMDR_SW2,VPED,VTPK,wavepower
1.51E+09,0,1,1,1.255,6.634,5.727,128.76,0.013,-0.014,0.035,1.278,101.96,0.982,6.869,108.59,0.703,5.27,-161.41,111.69,6.934,5.11987
1.51E+09,1,1,1,1.216,6.567,5.649,128.52,0.014,-0.013,0.046,1.347,98.5,0.948,6.816,108.57,0.681,5.22,-161.81,111.6,6.934,4.75806
1.51E+09,2,1,1,1.181,6.509,5.517,127.99,0.019,-0.013,0.068,1.376,95.89,0.905,6.764,109.84,0.529,5.561,-173.32,111.45,6.934,4.44846
1.51E+09,3,1,1,1.151,6.45,5.285,127.13,0.03,-0.012,0.105,1.429,92.88,0.953,6.429,102.73,0.637,5.118,-162.62,111.3,6.934,4.18703
1.51E+09,4,1,1,1.126,6.38,5.087,125.97,0.035,-0.011,0.148,1.624,91.17,0.932,6.4,102.57,0.615,5.068,-162.93,111.19,7.627,3.96363
1.51E+09,5,1,1,1.105,6.285,4.836,124.62,0.045,-0.01,0.193,1.754,90.28,0.912,6.338,102.4,0.594,5.028,-163.08,111.12,7.627,3.76033
1.51E+09,6,1,1,1.089,6.15,4.567,123,0.056,-0.01,0.244,1.907,89.14,0.892,6.232,102.24,0.567,4.969,-164.1,111.07,7.627,3.57377
1.51E+09,7,1,1,1.076,5.976,4.338,121.1,0.064,-0.01,0.298,2.06,90.05,0.874,6.092,101.93,0.54,4.937,-164.78,111.01,7.627,3.39025
1.51E+09,8,1,1,1.069,5.777,4.158,118.87,0.07,-0.011,0.35,2.237,90.87,0.858,5.895,101.59,0.513,4.923,-165.33,110.89,6.934,3.23485
1.51E+09,9,1,1,1.114,5.705,4.146,116.39,0.074,-0.012,0.391,2.357,92.47,0.898,5.775,100.84,0.493,5.083,-168.08,110.74,6.934,3.46914
